time_s,brut_N,filtered_N,applied_N,ressenti_N
1777972635.955050,0.1604342,0.02085644,0,0
1777972635.957080,0.333199,0.05944709,0,0
1777972635.961040,0.2195564,0.07990555,0,0
1777972635.963070,0.1816748,0.09189232,0,0
1777972635.965060,0.1853688,0.1011778,0,0
1777972635.969010,0.339357,0.1295414,0,0
1777972636.001070,0.2671306,0.1465301,0,0
1777972636.003020,0.1833382,0.1499926,0,0
1777972636.005120,0.1774251,0.1526321,0,0
1777972636.007040,0.128647,0.1470885,0,0
1777972636.009060,0.230587,0.1571935,0,0
1777972636.011060,0.2206741,0.1625527,0,0
1777972636.012980,0.2314222,0.1714922,0,0
1777972636.015050,0.2750648,0.184396,0,0
1777972636.016990,0.2878397,0.1970176,0,0
1777972636.019020,0.1657235,0.1897038,0,0
1777972636.021010,0.1579864,0.1835751,0,0
1777972636.023010,0.1987618,0.1844219,0,0
1777972636.025020,0.3016758,0.1986962,0,0
1777972636.027000,0.182944,0.1953366,0,0
1777972636.029020,0.2470103,0.2011746,0,0
1777972636.031000,0.19998,0.1999224,0,0
1777972636.033040,0.2586608,0.2072337,0,0
1777972636.035020,0.3968814,0.231613,0,0
1777972636.037020,0.2703443,0.2351442,0,0
1777972636.038980,0.3125728,0.2447958,0,0
1777972636.040960,0.2880254,0.2500512,0,0
1777972636.047020,0.3386085,0.2612512,0,0
1777972636.049020,0.247715,0.2592607,0,0
1777972636.050990,0.2606579,0.2581236,0,0
1777972636.059000,0.295132,0.2624959,0,0
1777972636.061010,0.151098,0.2474993,0,0
1777972636.066980,0.2364276,0.246019,0,0
1777972636.068970,0.2518098,0.2437088,0,0
1777972636.071020,0.2011643,0.2340997,0,0
1777972636.073000,0.2417175,0.2339738,0,0
1777972636.079010,0.3282426,0.2454019,0,0
1777972636.081050,0.3481199,0.256085,0,0
1777972636.083020,0.4049541,0.2746867,0,0
1777972636.084990,0.3249821,0.281067,0,0
1777972636.087040,0.3637404,0.2900639,0,0
1777972636.088970,0.2860042,0.2895089,0,0
1777972636.091060,0.2909793,0.2896364,0,0
1777972636.093030,0.2637817,0.2847834,0,0
1777972636.095060,0.2238581,0.2767146,0,0
1777972636.096990,0.3740062,0.2871987,0,0
1777972636.099020,0.3347838,0.2933736,0,0
1777972636.100990,0.3049314,0.2931317,0,0
1777972636.103030,0.4415217,0.3115111,0,0
1777972636.104990,0.2783584,0.3060296,0,0
1777972636.107010,0.2990757,0.3047526,0,0
1777972636.109000,0.4250657,0.3201309,0,0
1777972636.111000,0.3279815,0.3187442,0,0
1777972636.113020,0.4061411,0.3289948,0,0
1777972636.115050,0.2942464,0.3222014,0,0
1777972636.117000,0.3560308,0.3229536,0,0
1777972636.118980,0.4457112,0.3386955,0,0
1777972636.120990,0.3761824,0.3424558,0,0
1777972636.123040,0.3736053,0.3460117,0,0
1777972636.125060,0.338789,0.3449715,0,0
1777972636.127050,0.332821,0.3429881,0,0
1777972636.129100,0.2501869,0.3302819,0,0
1777972636.131040,0.2967916,0.3253026,0,0
1777972636.133080,0.2396994,0.3135695,0,0
1777972636.135030,0.2953053,0.3111041,0,0
1777972636.137020,0.1804395,0.2921346,0,0
1777972636.139030,0.2705812,0.2877078,0,0
1777972636.141020,0.2368736,0.2810017,0,0
1777972636.142990,0.3222516,0.286057,0,0
1777972636.145000,0.2363087,0.2790917,0,0
1777972636.146990,0.3116796,0.2832782,0,0
1777972636.148980,0.3224628,0.2866507,0,0
1777972636.150980,0.2000232,0.2712401,0,0
1777972636.152970,0.3053479,0.2750641,0,0
1777972636.154970,0.1643019,0.2574025,0,0
1777972636.156960,0.285582,0.2608476,0,0
1777972636.158990,0.311496,0.266462,0,0
1777972636.160990,0.2704659,0.2659615,0,0
1777972636.163000,0.32844,0.2733339,0,0
1777972636.165010,0.3023892,0.2734326,0,0
1777972636.166990,0.1526026,0.2575748,0,0
1777972636.168990,0.225365,0.2530434,0,0
1777972636.170970,0.1531161,0.2388261,0,0
1777972636.172990,0.2607472,0.2404016,0,0
1777972636.174990,0.2000203,0.2341925,0,0
1777972636.177040,0.3135647,0.242961,0,0
1777972636.179050,0.3071245,0.2501051,0,0
1777972636.181020,0.3381886,0.2610294,0,0
1777972636.182990,0.2761136,0.2586378,0,0
1777972636.185010,0.2252524,0.253059,0,0
1777972636.187010,0.2882654,0.2551617,0,0
1777972636.188990,0.2593735,0.250467,0,0
1777972636.190970,0.3914117,0.2685544,0,0
1777972636.192970,0.2135286,0.2601116,0,0
1777972636.194970,0.3812111,0.2731384,0,0
1777972636.197000,0.2880585,0.2737061,0,0
1777972636.198970,0.2815267,0.2746535,0,0
1777972636.201010,0.4893928,0.3019456,0,0
1777972636.203030,0.299537,0.2991632,0,0
1777972636.204980,0.4050952,0.3120715,0,0
1777972636.207010,0.383748,0.3168958,0,0
1777972636.209030,0.3606474,0.3223915,0,0
1777972636.211040,0.2166964,0.3082416,0,0
1777972636.212970,0.3783524,0.316862,0,0
1777972636.214970,0.3388822,0.3189828,0,0
1777972636.216990,0.2889062,0.3144999,0,0
1777972636.218990,0.429138,0.3293063,0,0
1777972636.220990,0.5199968,0.3533117,0,0
1777972636.222990,0.4646371,0.3670698,0,0
1777972636.224980,0.4119251,0.3713166,0,0
1777972636.227010,0.4109536,0.3758818,0,0
1777972636.228980,0.416747,0.3806493,0,0
1777972636.230960,0.2755178,0.3666066,0,0
1777972636.232990,0.4689206,0.3798659,0,0
1777972636.234990,0.4841397,0.3932432,0,0
1777972636.236990,0.4903368,0.4007484,0,0
1777972636.239010,0.4965023,0.412693,0,0
1777972636.240990,0.2090656,0.3834021,0,0
1777972636.243020,0.2096298,0.3602853,0,0
1777972636.244960,0.3038189,0.3528856,0,0
1777972636.246980,0.2926811,0.3450565,0,0
1777972636.248980,0.3415599,0.3439716,0,0
1777972636.251010,0.305978,0.3371344,0,0
1777972636.252980,0.407591,0.3450435,0,0
1777972636.254990,0.4514139,0.3588429,0,0
1777972636.257030,0.325273,0.3512984,0,0
1777972636.259020,0.2988025,0.3396887,0,0
1777972636.261040,0.2286766,0.321943,0,0
1777972636.263010,0.4107646,0.3265598,0,0
1777972636.264960,0.2622746,0.3156332,0,0
1777972636.267040,0.2479166,0.3013849,0,0
1777972636.269040,0.2091763,0.2889501,0,0
1777972636.270980,0.1617223,0.270831,0,0
1777972636.272990,0.1574449,0.2556626,0,0
1777972636.275010,0.2208117,0.2492176,0,0
1777972636.276980,0.2137141,0.2422696,0,0
1777972636.279050,0.1321942,0.2260179,0,0
1777972636.281020,0.1438803,0.2099262,0,0
1777972636.282990,0.4006968,0.2342195,0,0
1777972636.284990,0.1606496,0.2225247,0,0
1777972636.286960,0.1957615,0.2166382,0,0
1777972636.288960,0.2041496,0.212761,0,0
1777972636.290990,0.2085466,0.210466,0,0
1777972636.292990,0.18617,0.2053294,0,0
1777972636.294990,0.2124515,0.2055988,0,0
1777972636.296990,0.243681,0.2099436,0,0
1777972636.298990,0.2338143,0.2105437,0,0
1777972636.301040,0.2578897,0.2143629,0,0
1777972636.303050,0.2727687,0.2163998,0,0
1777972636.305010,0.2456659,0.2191978,0,0
1777972636.307040,0.1811366,0.2019349,0,0
1777972636.309000,0.2007326,0.1998438,0,0
1777972636.311030,0.3038406,0.2106542,0,0
1777972636.313030,0.2274001,0.2115963,0,0
1777972636.314990,0.2218747,0.2110835,0,0
1777972636.317070,0.217144,0.2111802,0,0
1777972636.318990,0.3024435,0.222032,0,0
1777972636.320990,0.3401478,0.2364733,0,0
1777972636.323010,0.253444,0.238452,0,0
1777972636.325000,0.2383155,0.2379124,0,0
1777972636.327000,0.2806231,0.242338,0,0
1777972636.328980,0.2914489,0.2478571,0,0
1777972636.330980,0.3758242,0.2639079,0,0
1777972636.333020,0.2992541,0.2679706,0,0
1777972636.335030,0.311925,0.2731342,0,0
1777972636.337000,0.2444194,0.2689133,0,0
1777972636.338990,0.3183731,0.2745216,0,0
1777972636.341030,0.2242356,0.2669207,0,0
1777972636.343020,0.349508,0.2771738,0,0
1777972636.345010,0.2288756,0.2690021,0,0
1777972636.346980,0.3258365,0.2750222,0,0
1777972636.348980,0.2981774,0.2757573,0,0
1777972636.350990,0.3029808,0.2784461,0,0
1777972636.352980,0.1922956,0.2665852,0,0
1777972636.355060,0.1283361,0.2441211,0,0
1777972636.357030,0.2596398,0.2461262,0,0
1777972636.359010,0.2005756,0.2395422,0,0
1777972636.361060,0.1553769,0.2260266,0,0
1777972636.363020,0.217252,0.2226677,0,0
1777972636.365010,0.4512945,0.2522738,0,0
1777972636.367010,0.46566,0.2793141,0,0
1777972636.369040,0.3594296,0.2888202,0,0
1777972636.370980,0.3067748,0.2899553,0,0
1777972636.373000,0.3184014,0.2928904,0,0
1777972636.375070,0.38269,0.304484,0,0
1777972636.376980,0.3189971,0.3058626,0,0
1777972636.378980,0.2401472,0.2925387,0,0
1777972636.381000,0.1913318,0.2781243,0,0
1777972636.383020,0.1645385,0.2632348,0,0
1777972636.384970,0.2024737,0.2539184,0,0
1777972636.386960,0.1580616,0.2408029,0,0
1777972636.389020,0.2318966,0.238716,0,0
1777972636.390990,0.2537228,0.2351506,0,0
1777972636.392990,0.2350512,0.2333344,0,0
1777972636.394990,0.3020464,0.2415349,0,0
1777972636.396960,0.2438546,0.2406646,0,0
1777972636.398960,0.2694314,0.2438771,0,0
1777972636.401000,0.1227852,0.2267219,0,0
1777972636.402990,0.210908,0.2209734,0,0
1777972636.404960,0.1681189,0.2101141,0,0
1777972636.406990,0.1770255,0.2039769,0,0
1777972636.408990,0.201927,0.20333,0,0
1777972636.410990,0.2746633,0.2042322,0,0
1777972636.413010,0.2419635,0.207987,0,0
1777972636.414980,0.3101262,0.2204244,0,0
1777972636.417000,0.2381985,0.2215649,0,0
1777972636.419000,0.1977724,0.2164527,0,0
1777972636.420980,0.1307818,0.2038863,0,0
1777972636.422960,0.2578425,0.1986065,0,0
1777972636.425010,0.09277983,0.1842474,0,0
1777972636.426990,0.1145364,0.1732494,0,0
1777972636.428960,0.09920473,0.162287,0,0
1777972636.431020,0.1639115,0.1616375,0,0
1777972636.433000,0.1884386,0.1626394,0,0
1777972636.435040,0.255743,0.1720131,0,0
1777972636.436990,0.1543646,0.1683605,0,0
1777972636.438990,0.09183133,0.1541328,0,0
1777972636.441020,0.05632218,0.1395347,0,0
1777972636.443010,0.101315,0.1336146,0,0
1777972636.444990,0.1861495,0.1393187,0,0
1777972636.446990,0.1356358,0.1386913,0,0
1777972636.449010,0.1976267,0.1441629,0,0
1777972636.451030,0.3173452,0.1660996,0,0
1777972636.453080,0.2779668,0.1731129,0,0
1777972636.455090,0.243445,0.1811265,0,0
1777972636.457050,0.2178364,0.1838937,0,0
1777972636.459050,0.2036076,0.1859963,0,0
1777972636.461080,0.1862149,0.1855568,0,0
1777972636.463020,0.3223508,0.2010042,0,0
1777972636.465040,0.1469364,0.1905324,0,0
1777972636.467050,0.2636034,0.1988884,0,0
1777972636.469050,0.316079,0.213532,0,0
1777972636.471070,0.217552,0.212028,0,0
1777972636.473070,0.2607027,0.2182985,0,0
1777972636.475040,0.2294102,0.2180871,0,0
1777972636.477060,0.1401036,0.2061394,0,0
1777972636.479100,0.1660222,0.1980511,0,0
1777972636.481020,0.08820084,0.1835115,0,0
1777972636.483020,0.1803767,0.1808014,0,0
1777972636.485000,0.1195908,0.1627173,0,0
1777972636.487010,0.209847,0.1677969,0,0
1777972636.489010,0.1966075,0.1703778,0,0
1777972636.491000,0.1764711,0.1663815,0,0
1777972636.492980,0.1244618,0.1601994,0,0
1777972636.494990,0.1215996,0.1549178,0,0
1777972636.497040,0.289137,0.1710111,0,0
1777972636.499080,0.2253707,0.1753965,0,0
1777972636.501040,0.2677235,0.1848717,0,0
1777972636.503070,0.1419545,0.1789412,0,0
1777972636.505120,0.3324953,0.1965815,0,0
1777972636.507060,0.1803171,0.1943563,0,0
1777972636.509060,0.370015,0.2152536,0,0
1777972636.511060,0.3343888,0.2211256,0,0
1777972636.513080,0.2107113,0.2129541,0,0
1777972636.515100,0.2007935,0.2106976,0,0
1777972636.517070,0.2442449,0.2141276,0,0
1777972636.519070,0.2115054,0.2137798,0,0
1777972636.521090,0.1181621,0.1958288,0,0
1777972636.523040,0.1639979,0.1912419,0,0
1777972636.525050,0.1457341,0.1825843,0,0
1777972636.527070,0.2485589,0.1911294,0,0
1777972636.529110,0.1720649,0.1878818,0,0
1777972636.531110,0.20547,0.1892033,0,0
1777972636.533040,0.2316119,0.1947057,0,0
1777972636.535060,0.2313644,0.1970718,0,0
1777972636.537040,0.1821448,0.1940835,0,0
1777972636.539060,0.2239747,0.196805,0,0
1777972636.541050,0.1349125,0.1808559,0,0
1777972636.543010,0.141001,0.1711131,0,0
1777972636.545080,0.09881424,0.1606504,0,0
1777972636.547040,0.08419212,0.1502726,0,0
1777972636.549080,0.1451883,0.1468596,0,0
1777972636.551010,0.1455992,0.1433762,0,0
1777972636.553050,0.1411674,0.1356027,0,0
1777972636.555010,0.1423257,0.1363325,0,0
1777972636.557050,0.1420121,0.1354821,0,0
1777972636.559070,0.1968357,0.1426026,0,0
1777972636.561020,0.1163897,0.1388169,0,0
1777972636.563100,0.02380265,0.123776,0,0
1777972636.565060,0.1528536,0.1270584,0,0
1777972636.567020,0.1924155,0.130541,0,0
1777972636.569100,0.08519785,0.1234729,0,0
1777972636.571140,0.1620929,0.1276547,0,0
1777972636.573080,0.1382,0.1270692,0,0
1777972636.575020,0.203918,0.1365332,0,0
1777972636.577080,0.1947429,0.1436354,0,0
1777972636.579080,0.2369471,0.1501338,0,0
1777972636.581090,0.09719266,0.1432118,0,0
1777972636.583030,0.1394379,0.1408993,0,0
1777972636.585100,0.3062262,0.1611772,0,0
1777972636.587090,0.3230491,0.182204,0,0
1777972636.589010,0.1501638,0.1743177,0,0
1777972636.591020,0.334858,0.1938518,0,0
1777972636.593050,0.1830092,0.1872944,0,0
1777972636.595020,0.1710723,0.1789682,0,0
1777972636.597020,0.2343397,0.183047,0,0
1777972636.599090,0.1175297,0.1730375,0,0
1777972636.601090,0.1338908,0.1649555,0,0
1777972636.603020,0.1242261,0.1573298,0,0
1777972636.605050,0.1587046,0.1514295,0,0
1777972636.607070,0.2783399,0.1664837,0,0
1777972636.609050,0.1954126,0.1683764,0,0
1777972636.611050,0.1718405,0.1675346,0,0
1777972636.613070,0.1870856,0.1622672,0,0
1777972636.615130,0.2589824,0.1737721,0,0
1777972636.617070,0.1810929,0.1707849,0,0
1777972636.619070,0.1149411,0.1569858,0,0
1777972636.621090,0.1504686,0.1553123,0,0
1777972636.623020,0.1444608,0.1517595,0,0
1777972636.624990,0.1589545,0.1454527,0,0
1777972636.626970,0.2954032,0.1636028,0,0
1777972636.628960,0.2541171,0.1753602,0,0
1777972636.631010,0.1196775,0.1624912,0,0
1777972636.632980,0.2696713,0.1747641,0,0
1777972636.634960,0.2153745,0.1785895,0,0
1777972636.636960,0.2301694,0.1851998,0,0
1777972636.638990,0.2210735,0.1894334,0,0
1777972636.640960,0.2663132,0.1991955,0,0
1777972636.642960,0.1500352,0.1868548,0,0
1777972636.644960,0.2255845,0.1912365,0,0
1777972636.646960,0.2795067,0.1998496,0,0
1777972636.648960,0.2100896,0.1979028,0,0
1777972636.650990,0.2902718,0.2095416,0,0
1777972636.653050,0.2030602,0.2039033,0,0
1777972636.655040,0.1647306,0.1957873,0,0
1777972636.657010,0.1770432,0.1930305,0,0
1777972636.659050,0.02007312,0.166661,0,0
1777972636.661010,0.1834078,0.1675328,0,0
1777972636.663010,0.1056738,0.1588767,0,0
1777972636.665060,0.09812598,0.1499593,0,0
1777972636.667040,0.2247631,0.1571501,0,0
1777972636.669110,0.1279938,0.1516511,0,0
1777972636.671010,0.08238649,0.1409676,0,0
1777972636.673030,0.06585052,0.1294648,0,0
1777972636.675060,0.2698965,0.1469424,0,0
1777972636.677020,0.1515827,0.1413157,0,0
1777972636.679040,0.08405727,0.1167546,0,0
