time_s,brut_N,filtered_N,applied_N,ressenti_N
1782306267.397970,0.1189645,0.01546538,0,0
1782306267.399910,0.04248511,0.009457304,0,0
1782306267.402040,0.04368932,0.01249534,0,0
1782306267.403960,0.1380748,0.02209712,0,0
1782306267.405960,0.05829286,0.01308007,0,0
1782306267.407930,0.07463661,0.008105426,0,0
1782306267.409970,0.1267271,0.01147609,0,0
1782306267.411980,0.08415683,0.01875349,0,0
1782306267.413950,0.1404341,0.02454867,0,0
1782306267.425990,0.1235027,0.03005926,0,0
1782306267.427960,0.1299729,0.04217107,0,0
1782306267.436030,0.1269906,0.05111163,0,0
1782306267.439940,0.08777099,0.05017447,0,0
1782306267.441940,0.0776857,0.04951432,0,0
1782306267.453970,0.1247936,0.0475071,0,0
1782306267.455950,0.1184669,0.0405954,0,0
1782306267.457990,0.09196553,0.04300888,0,0
1782306267.459970,0.05801141,0.03065451,0,0
1782306267.461940,0.1352247,0.02666228,0,0
1782306267.463920,0.09856305,0.02902208,0,0
1782306267.469970,0.05222386,0.02333623,0,0
1782306267.473950,0.03148672,0.02288425,0,0
1782306267.475930,0.1168954,0.008044939,0,0
1782306267.477940,0.1346381,0.01802897,0,0
1782306267.483990,0.1135341,0.01368149,0,0
1782306267.489970,0.07945032,0.01494981,0,0
1782306267.491960,0.07963531,0.01483089,0,0
1782306267.501970,0.1740307,0.02780537,0,0
1782306267.504050,0.1680701,0.03713216,0,0
1782306267.505950,0.1360045,0.04991824,0,0
1782306267.507940,0.1406745,0.06055049,0,0
1782306267.511960,0.1676552,0.07181826,0,0
1782306267.513940,0.1924913,0.08701099,0,0
1782306267.516030,0.2485113,0.106653,0,0
1782306267.517980,0.1321233,0.1099048,0,0
1782306267.520010,0.08998776,0.1017244,0,0
1782306267.521950,0.1175393,0.1004186,0,0
1782306267.523960,0.0426087,0.08530328,0,0
1782306267.526030,0.1045258,0.06872188,0,0
1782306267.528060,0.05323416,0.06356671,0,0
1782306267.529950,0.02004189,0.0551378,0,0
1782306267.531950,0.1671941,0.04656368,0,0
1782306267.533940,0.02788338,0.04042453,0,0
1782306267.535950,0.07975125,0.03813986,0,0
1782306267.537940,0.06781959,0.03119658,0,0
1782306267.539910,0.1522017,0.03753582,0,0
1782306267.541960,0.1884648,0.05530954,0,0
1782306267.544010,0.1154812,0.06059573,0,0
1782306267.545960,0.04809362,0.05378712,0,0
1782306267.547990,0.1357561,0.06425176,0,0
1782306267.549920,0.02955958,0.05666833,0,0
1782306267.551910,0.133857,0.06397296,0,0
1782306267.553990,0.05940533,0.0619729,0,0
1782306267.556000,0.1117693,0.06645247,0,0
1782306267.557970,0.09940307,0.05967618,0,0
1782306267.559990,0.07952163,0.06177177,0,0
1782306267.561990,0.1420982,0.07123789,0,0
1782306267.563940,0.3144767,0.09845169,0,0
1782306267.565870,0.1565621,0.09508304,0,0
1782306267.567930,0.02147032,0.08412009,0,0
1782306267.569980,0.1883659,0.09643857,0,0
1782306267.571950,0.122262,0.09973976,0,0
1782306267.573940,0.1192207,0.1004882,0,0
1782306267.575940,0.126976,0.09698563,0,0
1782306267.577950,0.1631936,0.1053635,0,0
1782306267.579980,0.2025786,0.115126,0,0
